load_scale_pct,generation_mode,status,converged,network_limit_violation,generation_limit_violation,gross_load_mw,fixed_generation_mw,net_demand_mw,conventional_generation_mw,slack_generation_mw,slack_pmax_mw,scheduled_non_slack_adjustment_mw,remaining_for_slack_before_losses_mw,ac_loss_mw,max_loading_pct,worst_branch,worst_from_bus,worst_from_name,worst_to_bus,worst_to_name,overloaded_branch_count,min_voltage_pu,min_voltage_bus,min_voltage_name,voltage_violation_count,generator_p_limit_violation_count,generator_q_limit_violation_count,message
100.0,headroom,OK,True,False,False,66588.1551966986,453.09330073764,66135.06189596096,66967.09072765018,3726.5819227971933,4200.0,0.0,0.0,832.0288316892256,98.48227616464801,264,134,광양,193,남해,0,0.9602154389886884,72,홍천,0,0,0,
105.0,headroom,NETWORK+GEN_LIMIT,True,True,True,69917.56295653353,453.09330073764,69464.46965579588,70396.5994654895,3826.682900801574,4200.0,3329.407759834925,0.0,932.129809693608,122.16531597365574,264,134,광양,193,남해,1,0.9555885826960696,72,홍천,0,1,1,
110.0,headroom,NETWORK+GEN_LIMIT,True,True,True,73246.97071636847,453.09330073764,72793.87741563082,73984.90731433663,7338.586314336635,4200.0,3405.8121951469993,3253.003324522865,1191.029898705805,141.70996880982614,264,134,광양,193,남해,5,0.9515845117989253,72,홍천,0,1,1,
120.0,headroom,NETWORK+GEN_LIMIT,True,True,True,79905.78623603832,453.09330073764,79452.69293530067,81974.52835931053,15328.20735931054,4200.0,3405.8121951469993,9911.818844192716,2521.835424009856,303.610366721113,337,176,마산,190,사천,19,0.902004398757702,180,진주,10,1,20,
125.0,headroom,NON_CONVERGED,False,False,False,83235.19399587324,453.09330073764,82782.1006951356,nan,nan,nan,3405.8121951469993,13241.22660402764,nan,nan,,,,,,,nan,,,,,,
130.0,headroom,NON_CONVERGED,False,False,False,86564.60175570817,453.09330073764,86111.50845497052,nan,nan,nan,3405.8121951469993,16570.634363862566,nan,nan,,,,,,,nan,,,,,,
